table with row headers in column B and column headers in rows 3 through 4,,,,,
394,"Providence city, Rhode Island","179,520","179,883",363,0.2
395,"Pawtucket city, Rhode Island","71,973","72,117",144,0.2
396,"National City city, California","61,272","61,394",122,0.2
397,"New Haven city, Connecticut","129,993","130,250",257,0.2
398,"Fort Smith city, Arkansas","87,720","87,891",171,0.2
399,"Tulsa city, Oklahoma","400,414","401,190",776,0.2
400,"Highland city, California","55,311","55,417",106,0.2
401,"Weston city, Florida","71,030","71,166",136,0.2
402,"San Marcos city, California","96,480","96,664",184,0.2
403,"Pittsburg city, California","72,450","72,588",138,0.2
404,"San Ramon city, California","75,851","75,995",144,0.2
405,"Omaha city, Nebraska","477,299","478,192",893,0.2
406,"Fort Lauderdale city, Florida","182,101","182,437",336,0.2
407,"Arlington city, Texas","398,123","398,854",731,0.2
408,"Wichita city, Kansas","389,231","389,938",707,0.2
409,"Novi city, Michigan","60,787","60,896",109,0.2
410,"Santa Barbara city, California","91,203","91,364",161,0.2
411,"Lake Forest city, California","85,381","85,531",150,0.2
412,"Taunton city, Massachusetts","57,365","57,464",99,0.2
413,"East Orange city, New Jersey","64,258","64,367",109,0.2
414,"Kokomo city, Indiana","57,922","58,020",98,0.2
415,"Macon-Bibb County, Georgia","152,903","153,159",256,0.2
416,"Lake Charles city, Louisiana","78,266","78,396",130,0.2
417,"Davie town, Florida","106,131","106,306",175,0.2
418,"Manchester city, New Hampshire","112,492","112,673",181,0.2
419,"Albuquerque city, New Mexico","559,629","560,513",884,0.2
420,"El Monte city, California","115,308","115,487",179,0.2
421,"Decatur city, Alabama","54,364","54,445",81,0.1
422,"Cranston city, Rhode Island","81,335","81,456",121,0.1
423,"Rancho Cucamonga city, California","177,345","177,603",258,0.1
424,"Janesville city, Wisconsin","64,483","64,575",92,0.1
425,"Apple Valley town, California","73,349","73,453",104,0.1
426,"Simi Valley city, California","125,438","125,613",175,0.1
427,"Haverhill city, Massachusetts","63,926","64,014",88,0.1
428,"San Diego city, California","1,421,917","1,423,851","1,934",0.1
429,"Redlands city, California","71,416","71,513",97,0.1
430,"Roanoke city, Virginia","99,009","99,143",134,0.1
431,"Hampton city, Virginia","134,330","134,510",180,0.1
432,"Kentwood city, Michigan","51,829","51,898",69,0.1
433,"Dallas city, Texas","1,341,802","1,343,573","1,771",0.1
434,"Knoxville city, Tennessee","187,362","187,603",241,0.1
435,"Temecula city, California","114,614","114,761",147,0.1
436,"Woodland city, California","60,474","60,548",74,0.1
437,"Santa Ana city, California","331,912","332,318",406,0.1
438,"Billings city, Montana","109,444","109,577",133,0.1
439,"Victoria city, Texas","66,835","66,916",81,0.1
440,"Centennial city, Colorado","110,814","110,937",123,0.1
441,"West New York town, New Jersey","52,668","52,723",55,0.1
442,"Roswell city, Georgia","94,665","94,763",98,0.1
443,"Citrus Heights city, California","87,707","87,796",89,0.1
444,"Galveston city, Texas","50,396","50,446",50,0.1
445,"San Francisco city, California","880,696","881,549",853,0.1
446,"Bethlehem city, Pennsylvania","75,742","75,815",73,0.1
447,"Yakima city, Washington","93,548","93,637",89,0.1
448,"Amarillo city, Texas","199,183","199,371",188,0.1
449,"Grand Island city, Nebraska","51,219","51,267",48,0.1
450,"Bellevue city, Nebraska","53,494","53,544",50,0.1
451,"Newark city, New Jersey","281,752","282,011",259,0.1
452,"Milford city (balance), Connecticut","53,148","53,195",47,0.1
453,"Pasadena city, California","140,906","141,029",123,0.1
454,"Lawton city, Oklahoma","92,945","93,025",80,0.1
455,"Corpus Christi city, Texas","326,307","326,586",279,0.1
456,"Yorba Linda city, California","67,589","67,644",55,0.1
457,"Des Plaines city, Illinois","58,854","58,899",45,0.1
458,"Rockville city, Maryland","68,028","68,079",51,0.1
459,"Houston city, Texas","2,318,573","2,320,268","1,695",0.1
460,"Quincy city, Massachusetts","94,403","94,470",67,0.1
461,"Coconut Creek city, Florida","61,205","61,248",43,0.1
462,"Salt Lake City city, Utah","200,435","200,567",132,0.1
463,"Bartlett city, Tennessee","59,403","59,440",37,0.1
464,"Bowie city, Maryland","58,610","58,643",33,0.1
465,"South Bend city, Indiana","101,971","102,026",55,0.1
466,"Valdosta city, Georgia","56,428","56,457",29,0.1
467,"Los Angeles city, California","3,977,596","3,979,576","1,980",-
468,"Warwick city, Rhode Island","80,966","81,004",38,-
469,"Eau Claire city, Wisconsin","68,770","68,802",32,-
470,"Santa Maria city, California","107,218","107,263",45,-
471,"Harlingen city, Texas","64,996","65,022",26,-
472,"Kenosha city, Wisconsin","99,908","99,944",36,-
473,"Coral Springs city, Florida","133,712","133,759",47,-
474,"Philadelphia city, Pennsylvania","1,583,592","1,584,064",472,-
475,"Virginia Beach city, Virginia","449,849","449,974",125,-
476,"Danbury city, Connecticut","84,675","84,694",19,-
477,"Largo city, Florida","84,937","84,948",11,-
478,"Vallejo city, California","121,677","121,692",15,-
479,"Somerville city, Massachusetts","81,357","81,360",3,-
480,"Santa Rosa city, California","176,750","176,753",3,-
481,"Kansas City city, Kansas","152,965","152,960",-5,-
482,"Memphis city, Tennessee","651,104","651,073",-31,-
483,"New Bedford city, Massachusetts","95,371","95,363",-8,-
484,"Oceanside city, California","175,758","175,742",-16,-
485,"Provo city, Utah","116,630","116,618",-12,-
486,"Brockton city, Massachusetts","95,723","95,708",-15,-
487,"Troy city, Michigan","84,111","84,092",-19,-
488,"North Richland Hills city, Texas","70,686","70,670",-16,-
489,"Dayton city, Ohio","140,439","140,407",-32,-
490,"Battle Creek city, Michigan","51,105","51,093",-12,-
491,"Elkhart city, Indiana","52,373","52,358",-15,-
492,"Watsonville city, California","53,875","53,856",-19,-
493,"Renton city, Washington","101,787","101,751",-36,-
494,"Rochester Hills city, Michigan","74,544","74,516",-28,-
495,"Lynn city, Massachusetts","94,336","94,299",-37,-
496,"Peabody city, Massachusetts","53,092","53,070",-22,-
497,"Westminster city, Colorado","113,227","113,166",-61,-0.1
498,"Santa Cruz city, California","64,643","64,608",-35,-0.1
499,"White Plains city, New York","58,141","58,109",-32,-0.1
500,"Sunrise city, Florida","95,219","95,166",-53,-0.1
501,"Encinitas city, California","62,750","62,709",-41,-0.1
502,"Leesburg town, Virginia","53,763","53,727",-36,-0.1
503,"Sunnyvale city, California","152,807","152,703",-104,-0.1
504,"Antioch city, California","111,578","111,502",-76,-0.1
505,"Worcester city, Massachusetts","185,555","185,428",-127,-0.1
506,"Evansville city, Indiana","118,060","117,979",-81,-0.1
507,"Livermore city, California","90,253","90,189",-64,-0.1
508,"Elyria city, Ohio","53,797","53,757",-40,-0.1
509,"Euless city, Texas","57,241","57,197",-44,-0.1
510,"Lauderhill city, Florida","71,924","71,868",-56,-0.1
511,"Allentown city, Pennsylvania","121,537","121,442",-95,-0.1
512,"Hamilton city, Ohio","62,132","62,082",-50,-0.1
513,"Little Rock city, Arkansas","197,484","197,312",-172,-0.1
514,"Council Bluffs city, Iowa","62,221","62,166",-55,-0.1
515,"Gulfport city, Mississippi","71,771","71,705",-66,-0.1
516,"Pittsburgh city, Pennsylvania","300,570","300,286",-284,-0.1
517,"Anaheim city, California","350,698","350,365",-333,-0.1
518,"Fall River city, Massachusetts","89,630","89,541",-89,-0.1
519,"Lawrence city, Massachusetts","80,112","80,028",-84,-0.1
520,"Waltham city, Massachusetts","62,563","62,495",-68,-0.1
521,"Westminster city, California","90,742","90,643",-99,-0.1
522,"Schenectady city, New York","65,345","65,273",-72,-0.1
523,"Escondido city, California","151,793","151,625",-168,-0.1
524,"Salinas city, California","155,647","155,465",-182,-0.1
525,"Carlsbad city, California","115,518","115,382",-136,-0.1
526,"Gaithersburg city, Maryland","68,070","67,985",-85,-0.1
527,"Stamford city, Connecticut","129,806","129,638",-168,-0.1
528,"New Britain city, Connecticut","72,591","72,495",-96,-0.1
529,"Royal Oak city, Michigan","59,356","59,277",-79,-0.1
530,"Louisville/Jefferson County metro government (balance), Kentucky","618,495","617,638",-857,-0.1
531,"Porterville city, California","59,685","59,599",-86,-0.1
532,"Akron city, Ohio","197,884","197,597",-287,-0.1
533,"Lafayette city, Louisiana","126,371","126,185",-186,-0.1
534,"Rochester city, New York","206,004","205,695",-309,-0.1
535,"Eagan city, Minnesota","66,472","66,372",-100,-0.2
536,"West Sacramento city, California","53,601","53,519",-82,-0.2
537,"Pomona city, California","151,925","151,691",-234,-0.2
538,"Dubuque city, Iowa","57,975","57,882",-93,-0.2
539,"Brooklyn Park city, Minnesota","80,524","80,389",-135,-0.2
540,"Muncie city, Indiana","68,115","67,999",-116,-0.2
541,"North Little Rock city, Arkansas","66,022","65,903",-119,-0.2
542,"Oxnard city, California","209,271","208,881",-390,-0.2
543,"Montgomery city, Alabama","198,899","198,525",-374,-0.2
544,"Reading city, Pennsylvania","88,542","88,375",-167,-0.2
545,"Shawnee city, Kansas","65,933","65,807",-126,-0.2
546,"Corvallis city, Oregon","58,969","58,856",-113,-0.2
547,"Buffalo city, New York","255,781","255,284",-497,-0.2
548,"Lorain city, Ohio","63,984","63,855",-129,-0.2
549,"Apopka city, Florida","53,557","53,447",-110,-0.2
550,"Milwaukee city, Wisconsin","591,375","590,157","-1,218",-0.2
551,"Union City city, New Jersey","68,124","67,982",-142,-0.2
552,"Redwood City city, California","86,105","85,925",-180,-0.2
553,"Waukesha city, Wisconsin","72,453","72,299",-154,-0.2
554,"Anderson city, Indiana","54,883","54,765",-118,-0.2
555,"Sterling Heights city, Michigan","132,725","132,438",-287,-0.2
556,"San Clemente city, California","64,699","64,558",-141,-0.2
557,"New Orleans city, Louisiana","391,004","390,144",-860,-0.2
558,"Camden city, New Jersey","73,725","73,562",-163,-0.2
559,"Novato city, California","55,640","55,516",-124,-0.2
560,"Plainfield city, New Jersey","50,430","50,317",-113,-0.2
561,"Wyoming city, Michigan","75,839","75,667",-172,-0.2
562,"Bossier City city, Louisiana","68,316","68,159",-157,-0.2
563,"Clifton city, New Jersey","85,251","85,052",-199,-0.2
564,"La Mesa city, California","59,389","59,249",-140,-0.2
565,"Lancaster city, Pennsylvania","59,407","59,265",-142,-0.2
566,"Hempstead village, New York","55,246","55,113",-133,-0.2
567,"Green Bay city, Wisconsin","104,833","104,578",-255,-0.2
568,"Sugar Land city, Texas","118,777","118,488",-289,-0.2
569,"Berkeley city, California","121,663","121,363",-300,-0.2
570,"Paterson city, New Jersey","145,594","145,233",-361,-0.2
571,"San Bernardino city, California","216,323","215,784",-539,-0.2
572,"Terre Haute city, Indiana","60,775","60,622",-153,-0.3
573,"Carson city, California","91,626","91,394",-232,-0.3
574,"Newton city, Massachusetts","88,641","88,414",-227,-0.3
575,"Bristol city, Connecticut","60,101","59,947",-154,-0.3
576,"Bridgeport city, Connecticut","144,772","144,399",-373,-0.3
577,"Joliet city, Illinois","147,730","147,344",-386,-0.3
578,"Costa Mesa city, California","113,302","113,003",-299,-0.3
579,"Santa Clarita city, California","213,549","212,979",-570,-0.3
580,"Norwalk city, Connecticut","89,061","88,816",-245,-0.3
581,"Chicago city, Illinois","2,701,423","2,693,976","-7,447",-0.3
582,"Duluth city, Minnesota","85,856","85,618",-238,-0.3
583,"Portland city, Maine","66,405","66,215",-190,-0.3
584,"Meriden city, Connecticut","59,566","59,395",-171,-0.3
585,"Kettering city, Ohio","55,014","54,855",-159,-0.3
586,"Tustin city, California","79,578","79,348",-230,-0.3
587,"Syracuse city, New York","142,745","142,327",-418,-0.3
588,"Normal town, Illinois","54,629","54,469",-160,-0.3
589,"Westland city, Michigan","81,752","81,511",-241,-0.3
590,"Independence city, Missouri","117,017","116,672",-345,-0.3
591,"Rosemead city, California","54,226","54,058",-168,-0.3
592,"Boulder city, Colorado","106,008","105,673",-335,-0.3
593,"Garden Grove city, California","172,195","171,644",-551,-0.3
594,"Davenport city, Iowa","101,918","101,590",-328,-0.3
595,"Warren city, Michigan","134,376","133,943",-433,-0.3
596,"El Cajon city, California","103,041","102,708",-333,-0.3
597,"Passaic city, New Jersey","69,932","69,703",-229,-0.3
598,"Lowell city, Massachusetts","111,362","110,997",-365,-0.3
599,"Taylorsville city, Utah","60,005","59,805",-200,-0.3
600,"New Rochelle city, New York","78,822","78,557",-265,-0.3
601,"Concord city, California","129,743","129,295",-448,-0.3
602,"Norfolk city, Virginia","243,585","242,742",-843,-0.3
603,"Hayward city, California","159,760","159,203",-557,-0.3
604,"Hoffman Estates village, Illinois","51,111","50,932",-179,-0.4
605,"Gardena city, California","59,540","59,329",-211,-0.4
606,"Stillwater city, Oklahoma","50,479","50,299",-180,-0.4
607,"New Brunswick city, New Jersey","55,878","55,676",-202,-0.4
608,"Thousand Oaks city, California","127,279","126,813",-466,-0.4
609,"Kenner city, Louisiana","66,584","66,340",-244,-0.4
610,"Hartford city, Connecticut","122,556","122,105",-451,-0.4
611,"Sandy city, Utah","96,737","96,380",-357,-0.4
612,"Kalamazoo city, Michigan","76,483","76,200",-283,-0.4
613,"Medford city, Massachusetts","57,554","57,341",-213,-0.4
614,"Plano city, Texas","288,747","287,677","-1,070",-0.4
615,"Portsmouth city, Virginia","94,750","94,398",-352,-0.4
616,"Topeka city, Kansas","125,778","125,310",-468,-0.4
617,"Appleton city, Wisconsin","74,378","74,098",-280,-0.4
618,"Livonia city, Michigan","94,019","93,665",-354,-0.4
619,"Florissant city, Missouri","51,147","50,952",-195,-0.4
620,"Gresham city, Oregon","109,808","109,381",-427,-0.4
621,"Southfield city, Michigan","72,976","72,689",-287,-0.4
622,"Taylor city, Michigan","61,163","60,922",-241,-0.4
623,"Auburn city, Washington","81,789","81,464",-325,-0.4
624,"Farmington Hills city, Michigan","80,939","80,612",-327,-0.4
625,"Flint city, Michigan","95,926","95,538",-388,-0.4
626,"Racine city, Wisconsin","77,075","76,760",-315,-0.4
627,"Wilmington city, Delaware","70,457","70,166",-291,-0.4
628,"Baldwin Park city, California","75,572","75,251",-321,-0.4
629,"Canton city, Ohio","70,752","70,447",-305,-0.4
630,"San Mateo city, California","104,885","104,430",-455,-0.4
631,"La Habra city, California","60,778","60,513",-265,-0.4
632,"Malden city, Massachusetts","60,735","60,470",-265,-0.4
633,"Detroit city, Michigan","672,977","670,031","-2,946",-0.4
634,"Gary city, Indiana","75,210","74,879",-331,-0.4
635,"Burien city, Washington","51,731","51,500",-231,-0.4
636,"San Rafael city, California","58,704","58,440",-264,-0.4
637,"Huntington Beach city, California","200,126","199,223",-903,-0.5
638,"Federal Way city, Washington","96,726","96,289",-437,-0.5
639,"Mount Vernon city, New York","67,655","67,345",-310,-0.5
640,"Fullerton city, California","139,273","138,632",-641,-0.5
641,"Jacksonville city, North Carolina","72,775","72,436",-339,-0.5
642,"Hammond city, Indiana","75,877","75,522",-355,-0.5
643,"Springfield city, Massachusetts","154,329","153,606",-723,-0.5
644,"Scranton city, Pennsylvania","77,017","76,653",-364,-0.5
645,"Dearborn city, Michigan","94,379","93,932",-447,-0.5
646,"Arlington Heights village, Illinois","75,116","74,760",-356,-0.5
647,"Rockford city, Illinois","146,307","145,609",-698,-0.5
648,"Trenton city, New Jersey","83,604","83,203",-401,-0.5
649,"Utica city, New York","60,040","59,750",-290,-0.5
650,"Buena Park city, California","82,187","81,788",-399,-0.5
651,"Dearborn Heights city, Michigan","55,627","55,353",-274,-0.5
652,"DeSoto city, Texas","53,254","52,988",-266,-0.5
653,"West Haven city, Connecticut","54,895","54,620",-275,-0.5
654,"St. Clair Shores city, Michigan","59,282","58,984",-298,-0.5
655,"Pontiac city, Michigan","59,741","59,438",-303,-0.5
656,"La Crosse city, Wisconsin","51,491","51,227",-264,-0.5
657,"Waterbury city, Connecticut","108,123","107,568",-555,-0.5
658,"Birmingham city, Alabama","210,487","209,403","-1,084",-0.5
659,"Mountain View city, California","83,168","82,739",-429,-0.5
660,"Springfield city, Illinois","114,840","114,230",-610,-0.5
661,"Chicopee city, Massachusetts","55,424","55,126",-298,-0.5
662,"Great Falls city, Montana","58,751","58,434",-317,-0.5
663,"West Valley City city, Utah","135,982","135,248",-734,-0.5
664,"Urban Honolulu CDP, Hawaii","346,945","345,064","-1,881",-0.5
665,"Decatur city, Illinois","71,136","70,746",-390,-0.5
666,"Fountain Valley city, California","55,663","55,357",-306,-0.5
667,"Daly City city, California","106,869","106,280",-589,-0.6
668,"Orland Park village, Illinois","58,179","57,857",-322,-0.6
669,"Perth Amboy city, New Jersey","51,677","51,390",-287,-0.6
670,"Orange city, California","139,449","138,669",-780,-0.6
671,"Paramount city, California","54,259","53,955",-304,-0.6
672,"Lynwood city, California","70,285","69,887",-398,-0.6
673,"Albany city, New York","97,011","96,460",-551,-0.6
674,"Rocky Mount city, North Carolina","54,232","53,922",-310,-0.6
675,"Mission Viejo city, California","94,925","94,381",-544,-0.6
676,"Mobile city, Alabama","189,809","188,720","-1,089",-0.6
677,"Tinley Park village, Illinois","56,095","55,773",-322,-0.6
678,"Elgin city, Illinois","111,490","110,849",-641,-0.6
679,"Cleveland city, Ohio","383,214","381,009","-2,205",-0.6
680,"Waterloo city, Iowa","67,722","67,328",-394,-0.6
681,"Glendora city, California","51,846","51,544",-302,-0.6
682,"Placentia city, California","51,538","51,233",-305,-0.6
683,"San Jose city, California","1,028,020","1,021,795","-6,225",-0.6
684,"Union City city, California","74,560","74,107",-453,-0.6
685,"Bloomington city, Illinois","77,804","77,330",-474,-0.6
686,"Bellflower city, California","76,906","76,435",-471,-0.6
687,"Bloomington city, Minnesota","85,474","84,943",-531,-0.6
688,"Aliso Viejo city, California","51,206","50,887",-319,-0.6
689,"Newport Beach city, California","85,074","84,534",-540,-0.6
690,"New York city, New York","8,390,081","8,336,817","-53,264",-0.6
691,"Lancaster city, California","158,622","157,601","-1,021",-0.6
692,"Springfield city, Ohio","59,263","58,877",-386,-0.7
693,"Parma city, Ohio","78,622","78,103",-519,-0.7
694,"Bolingbrook village, Illinois","75,043","74,545",-498,-0.7
695,"Lakewood city, Ohio","50,012","49,678",-334,-0.7
696,"Jersey City city, New Jersey","263,851","262,075","-1,776",-0.7
697,"Irving city, Texas","241,424","239,798","-1,626",-0.7
698,"Palatine village, Illinois","67,942","67,482",-460,-0.7
699,"Redondo Beach city, California","67,206","66,749",-457,-0.7
700,"Hialeah city, Florida","234,941","233,339","-1,602",-0.7
701,"Schaumburg village, Illinois","73,388","72,887",-501,-0.7
702,"Wheaton city, Illinois","53,108","52,745",-363,-0.7
703,"Diamond Bar city, California","56,106","55,720",-386,-0.7
704,"Manhattan city, Kansas","54,983","54,604",-379,-0.7
705,"Glendale city, California","200,688","199,303","-1,385",-0.7
706,"Palmdale city, California","156,158","155,079","-1,079",-0.7
707,"Long Beach city, California","465,865","462,628","-3,237",-0.7
708,"Hawthorne city, California","86,671","86,068",-603,-0.7
709,"Vineland city, New Jersey","59,856","59,439",-417,-0.7
710,"Waukegan city, Illinois","86,680","86,075",-605,-0.7
711,"Evanston city, Illinois","73,990","73,473",-517,-0.7
712,"Pleasanton city, California","82,357","81,777",-580,-0.7
713,"Downey city, California","111,915","111,126",-789,-0.7
714,"Lafayette city, Indiana","72,233","71,721",-512,-0.7
715,"Beaumont city, Texas","117,667","116,825",-842,-0.7
716,"Aurora city, Illinois","199,199","197,757","-1,442",-0.7
717,"Mount Prospect village, Illinois","54,116","53,719",-397,-0.7
718,"South Gate city, California","94,135","93,444",-691,-0.7
719,"Oak Lawn village, Illinois","55,430","55,022",-408,-0.7
720,"Garland city, Texas","241,709","239,928","-1,781",-0.7
721,"Alhambra city, California","84,373","83,750",-623,-0.7
722,"Skokie village, Illinois","63,171","62,700",-471,-0.7
723,"Iowa City city, Iowa","75,696","75,130",-566,-0.7
724,"Lakewood city, California","79,907","79,307",-600,-0.8
725,"Toledo city, Ohio","274,864","272,779","-2,085",-0.8
726,"Arcadia city, California","58,385","57,939",-446,-0.8
727,"Revere city, Massachusetts","53,483","53,073",-410,-0.8
728,"Torrance city, California","144,706","143,592","-1,114",-0.8
729,"Compton city, California","96,348","95,605",-743,-0.8
730,"Santa Monica city, California","91,106","90,401",-705,-0.8
731,"Montebello city, California","62,440","61,954",-486,-0.8
732,"Berwyn city, Illinois","54,821","54,391",-430,-0.8
733,"Whittier city, California","85,791","85,098",-693,-0.8
734,"Norwalk city, California","104,798","103,949",-849,-0.8
735,"Burbank city, California","103,349","102,511",-838,-0.8
736,"Des Moines city, Iowa","215,994","214,237","-1,757",-0.8
737,"Inglewood city, California","109,038","108,151",-887,-0.8
738,"West Covina city, California","105,964","105,101",-863,-0.8
739,"Erie city, Pennsylvania","96,298","95,508",-790,-0.8
740,"Columbia city, South Carolina","132,770","131,674","-1,096",-0.8
741,"Cicero town, Illinois","81,477","80,796",-681,-0.8
742,"Huntington Park city, California","57,998","57,509",-489,-0.8
743,"Coral Gables city, Florida","50,125","49,700",-425,-0.8
744,"Cerritos city, California","50,288","49,859",-429,-0.9
745,"Hoboken city, New Jersey","53,134","52,677",-457,-0.9
746,"Anchorage municipality, Alaska","290,521","288,000","-2,521",-0.9
747,"Monterey Park city, California","60,198","59,669",-529,-0.9
748,"Baton Rouge city, Louisiana","222,190","220,236","-1,954",-0.9
749,"Harrisonburg city, Virginia","53,488","53,016",-472,-0.9
750,"Alameda city, California","78,344","77,624",-720,-0.9
751,"Peoria city, Illinois","111,449","110,417","-1,032",-0.9
752,"Savannah city, Georgia","145,817","144,464","-1,353",-0.9
753,"St. Louis city, Missouri","303,419","300,576","-2,843",-0.9
754,"St. Joseph city, Missouri","75,604","74,875",-729,-1.0
755,"Pasadena city, Texas","152,733","151,227","-1,506",-1.0
756,"San Leandro city, California","89,713","88,815",-898,-1.0
757,"Miami Beach city, Florida","89,808","88,885",-923,-1.0
758,"Miami Gardens city, Florida","111,144","110,001","-1,143",-1.0
759,"Napa city, California","78,946","78,130",-816,-1.0
760,"Pico Rivera city, California","62,677","62,027",-650,-1.0
761,"North Miami city, Florida","63,481","62,822",-659,-1.0
762,"Port Arthur city, Texas","54,889","54,280",-609,-1.1
763,"Mesquite city, Texas","142,520","140,937","-1,583",-1.1
764,"Shreveport city, Louisiana","189,360","187,112","-2,248",-1.2
765,"Ann Arbor city, Michigan","121,429","119,980","-1,449",-1.2
766,"Cupertino city, California","60,004","59,276",-728,-1.2
767,"Palo Alto city, California","66,258","65,364",-894,-1.3
768,"Kissimmee city, Florida","73,751","72,717","-1,034",-1.4
769,"Grand Forks city, North Dakota","56,637","55,839",-798,-1.4
770,"San Buenaventura (Ventura) city, California","110,731","109,106","-1,625",-1.5
771,"Baltimore city, Maryland","602,443","593,490","-8,953",-1.5
772,"Albany city, Georgia","73,219","72,130","-1,089",-1.5
773,"Jackson city, Mississippi","163,772","160,628","-3,144",-1.9
774,"Petaluma city, California","61,826","60,520","-1,306",-2.1
Dash (-) represents zero or rounds to zero.,,,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates series are as of January 1, 2019. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,
Suggested Citation:,,,,,
"Annual Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2018, Ranked by Percent Change: July 1, 2018 to July 1, 2019  (SUB-IP-EST2019-ANNCH)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: May 2020,,,,,